"Integration Node (broker)","Ver","integration node UUID (broker UUID)","Integration server (ex.grp)","message flow","StartDate","StartTime","EndDate","EndTime","Tot.msgs","Tot.Elapse","max.elapse","min.elapse","total.cp","max.cp","min.cp","cp.wait","elapse.wait","total.msgsize","max.msgsize","min.msgsize"
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:47,2019-04-25,17:48,2916,29.763578,0.122966,0.005439,12.098875,0.006589,0.003079,0.497366,203.920338,1213056,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:47,2019-04-25,17:48,7050,394.784799,0.204103,0.012923,23.569536,0.005697,0.002530,0.559481,1717.564022,14763238,2095,2093
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:47,2019-04-25,17:48,5495,50.678692,0.136157,0.005509,23.146519,0.008566,0.003186,5.800788,2358.186035,2285920,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:48,2019-04-25,17:49,4186,89.229259,0.253121,0.007557,14.085538,0.016817,0.001861,0.496544,328.475243,60332220,100910,4412
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:48,2019-04-25,17:49,4300,82.324807,0.184326,0.008879,18.163156,0.013712,0.002490,1.069274,1846.431183,8304798,2073,1867
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:48,2019-04-25,17:49,2964,32.727325,0.103051,0.005486,12.318817,0.008987,0.002945,0.501267,206.883435,1233024,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:48,2019-04-25,17:49,7140,431.427365,0.194074,0.013589,23.949923,0.006554,0.002571,0.567158,1702.467716,14952302,2095,2093
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:48,2019-04-25,17:49,5299,51.904564,0.144656,0.005570,22.372385,0.009633,0.002975,5.701200,2309.035550,2204384,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:39,2019-04-25,17:40,4186,73.102687,0.095652,0.008294,13.783844,0.014009,0.001841,0.561688,350.658159,56953142,100910,4412
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:39,2019-04-25,17:40,4120,74.748593,0.054153,0.008487,17.778846,0.014310,0.002538,1.014160,1876.220705,7969230,2073,1867
