"date","time","volser","usage","sys","rate","resp","iosq","pend","disc","conn","lcu"
2019/04/25,17:39:00,"YSLG02","","*ALL",19.383,0.855,0.344,0.119,0.249,0.144,"016F"
2019/04/25,17:39:00,"YSLG02","","A1",0.017,0.243,0.000,0.128,0.000,0.115,"016F"
2019/04/25,17:39:00,"YSLG02","","A2",0.017,0.256,0.000,0.128,0.000,0.128,"016F"
2019/04/25,17:39:00,"YSLG02","","F1",19.333,0.857,0.345,0.118,0.250,0.144,"016F"
2019/04/25,17:39:00,"YSLG02","","F2",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YSLG02","","A*",0.034,0.250,0.000,0.128,0.000,0.122,"016F"
2019/04/25,17:39:00,"YSLG02","","F*",19.350,0.856,0.345,0.118,0.250,0.144,"016F"
2019/04/25,17:39:00,"YSLG03","","*ALL",20.827,7.743,0.240,0.120,0.154,7.230,"016F"
2019/04/25,17:39:00,"YSLG03","","A1",0.017,0.230,0.000,0.115,0.000,0.115,"016F"
2019/04/25,17:39:00,"YSLG03","","A2",0.017,0.243,0.000,0.128,0.000,0.115,"016F"
2019/04/25,17:39:00,"YSLG03","","F1",20.777,7.761,0.241,0.120,0.154,7.247,"016F"
2019/04/25,17:39:00,"YSLG03","","F2",0.017,0.218,0.000,0.128,0.000,0.090,"016F"
2019/04/25,17:39:00,"YSLG03","","A*",0.034,0.237,0.000,0.122,0.000,0.115,"016F"
2019/04/25,17:39:00,"YSLG03","","F*",20.794,7.755,0.241,0.120,0.154,7.241,"016F"
2019/04/25,17:39:00,"YDMP01","","*ALL",0.067,0.221,0.000,0.122,0.000,0.099,"016F"
2019/04/25,17:39:00,"YDMP01","","A1",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDMP01","","A2",0.017,0.218,0.000,0.115,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDMP01","","F1",0.017,0.218,0.000,0.128,0.000,0.090,"016F"
2019/04/25,17:39:00,"YDMP01","","F2",0.017,0.218,0.000,0.115,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDMP01","","A*",0.034,0.224,0.000,0.122,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDMP01","","F*",0.034,0.218,0.000,0.122,0.000,0.096,"016F"
2019/04/25,17:39:00,"YDMP02","","*ALL",0.067,0.237,0.000,0.131,0.000,0.106,"016F"
2019/04/25,17:39:00,"YDMP02","","A1",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDMP02","","A2",0.017,0.243,0.000,0.128,0.000,0.115,"016F"
2019/04/25,17:39:00,"YDMP02","","F1",0.017,0.230,0.000,0.141,0.000,0.090,"016F"
2019/04/25,17:39:00,"YDMP02","","F2",0.017,0.243,0.000,0.128,0.000,0.115,"016F"
2019/04/25,17:39:00,"YDMP02","","A*",0.034,0.237,0.000,0.128,0.000,0.109,"016F"
2019/04/25,17:39:00,"YDMP02","","F*",0.034,0.237,0.000,0.135,0.000,0.103,"016F"
2019/04/25,17:39:00,"YTMP01","","*ALL",0.067,0.224,0.000,0.128,0.000,0.096,"016F"
2019/04/25,17:39:00,"YTMP01","","A1",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YTMP01","","A2",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YTMP01","","F1",0.017,0.218,0.000,0.128,0.000,0.090,"016F"
2019/04/25,17:39:00,"YTMP01","","F2",0.017,0.218,0.000,0.128,0.000,0.090,"016F"
2019/04/25,17:39:00,"YTMP01","","A*",0.034,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YTMP01","","F*",0.034,0.218,0.000,0.128,0.000,0.090,"016F"
2019/04/25,17:39:00,"YTMP02","","*ALL",0.067,0.240,0.000,0.131,0.000,0.109,"016F"
2019/04/25,17:39:00,"YTMP02","","A1",0.017,0.243,0.000,0.128,0.000,0.115,"016F"
2019/04/25,17:39:00,"YTMP02","","A2",0.017,0.256,0.000,0.141,0.000,0.115,"016F"
2019/04/25,17:39:00,"YTMP02","","F1",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YTMP02","","F2",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YTMP02","","A*",0.034,0.250,0.000,0.135,0.000,0.115,"016F"
2019/04/25,17:39:00,"YTMP02","","F*",0.034,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YTMP03","","*ALL",0.067,0.256,0.000,0.138,0.000,0.118,"016F"
2019/04/25,17:39:00,"YTMP03","","A1",0.017,0.307,0.000,0.154,0.000,0.154,"016F"
2019/04/25,17:39:00,"YTMP03","","A2",0.017,0.256,0.000,0.141,0.000,0.115,"016F"
2019/04/25,17:39:00,"YTMP03","","F1",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YTMP03","","F2",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YTMP03","","A*",0.034,0.282,0.000,0.148,0.000,0.135,"016F"
2019/04/25,17:39:00,"YTMP03","","F*",0.034,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YTMP04","","*ALL",0.067,0.243,0.000,0.138,0.000,0.106,"016F"
2019/04/25,17:39:00,"YTMP04","","A1",0.017,0.243,0.000,0.141,0.000,0.102,"016F"
2019/04/25,17:39:00,"YTMP04","","A2",0.017,0.256,0.000,0.141,0.000,0.115,"016F"
2019/04/25,17:39:00,"YTMP04","","F1",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YTMP04","","F2",0.017,0.243,0.000,0.141,0.000,0.102,"016F"
2019/04/25,17:39:00,"YTMP04","","A*",0.034,0.250,0.000,0.141,0.000,0.109,"016F"
2019/04/25,17:39:00,"YTMP04","","F*",0.034,0.237,0.000,0.135,0.000,0.102,"016F"
2019/04/25,17:39:00,"YTMP05","","*ALL",0.073,0.396,0.000,0.131,0.000,0.265,"016F"
2019/04/25,17:39:00,"YTMP05","","A1",0.017,0.243,0.000,0.128,0.000,0.115,"016F"
2019/04/25,17:39:00,"YTMP05","","A2",0.023,0.741,0.000,0.137,0.000,0.603,"016F"
2019/04/25,17:39:00,"YTMP05","","F1",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YTMP05","","F2",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YTMP05","","A*",0.040,0.529,0.000,0.133,0.000,0.396,"016F"
2019/04/25,17:39:00,"YTMP05","","F*",0.034,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YCPUMF","","*ALL",0.067,0.298,0.000,0.086,0.000,0.211,"016F"
2019/04/25,17:39:00,"YCPUMF","","A1",0.033,0.294,0.000,0.090,0.000,0.205,"016F"
2019/04/25,17:39:00,"YCPUMF","","A2",0.033,0.301,0.000,0.083,0.000,0.218,"016F"
2019/04/25,17:39:00,"YCPUMF","","A*",0.066,0.298,0.000,0.087,0.000,0.212,"016F"
2019/04/25,17:39:00,"YSGZ2A","","*ALL",0.128,0.308,0.000,0.121,0.000,0.186,"016F"
2019/04/25,17:39:00,"YSGZ2A","","F1",0.025,0.256,0.000,0.119,0.000,0.137,"016F"
2019/04/25,17:39:00,"YSGZ2A","","F2",0.103,0.320,0.000,0.122,0.000,0.198,"016F"
2019/04/25,17:39:00,"YSGZ2A","","F*",0.128,0.308,0.000,0.121,0.000,0.186,"016F"
