"DATE","TIME","SYSID","SG","DNUM","DTYPE","CYL","VOLSER","PAV","H","LCU","RATE","RESP","IOSQ","CMR","DB","INT","PEND","DISC","CONN","%CONN","%UTIL","%RESV","#ALLOC","%ALLOC"
"19/04/25","17:39:00","A1","DBAGSG","C0B2","33909",10017,"YDBU09",1.0,"H","019E",0.137,12.2,.000,.005,.000,.000,.111,8.00,4.04,0.06,0.16,0.0,3.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C0B3","33909",10017,"YDBU0A",1.0,"H","019E",0.017,.179,.000,.000,.000,.000,.102,.000,.077,0.00,0.00,0.0,1.0,100.0
"19/04/25","17:39:00","A1","DBCSG","C0B4","33909",10017,"YDBC01",1.0,"H","019E",0.218,11.1,.000,.005,.000,.000,.101,7.51,3.44,0.08,0.24,0.0,68.0,100.0
"19/04/25","17:39:00","A1","","C0B5","33909",10017,"YDBW01",1.0,"H","019E",0.003,.448,.000,.000,.000,.000,.064,.256,.128,0.00,0.00,0.0,21.0,100.0
"19/04/25","17:39:00","A1","","C0B6","33909",10017,"YDBB01",1.0,"H","019E",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","C0B7","33909",10017,"YDBB02",1.0,"H","019E",0.197,.599,.000,.000,.000,.000,.094,.056,.448,0.01,0.01,0.0,5.4,100.0
"19/04/25","17:39:00","A1","","C0B8","33909",10017,"YDBI01",1.0,"H","019E",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","ARCMQSG","C0B9","33909",10017,"YMQAC1",1.0,"H","019E",8.948,.949,.000,.000,.000,.000,.070,.307,.571,0.51,0.79,0.0,0.0,100.0
"19/04/25","17:39:00","A1","ARCMQSG","C0BA","33909",10017,"YMQAC2",1.0,"H","019E",0.017,.192,.000,.000,.000,.000,.115,.000,.077,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","MBZFSSG1","C0BB","33909",10017,"YMBUR1",1.0,"H","019E",0.050,.397,.000,.000,.000,.000,.081,.183,.132,0.00,0.00,0.0,1.0,100.0
"19/04/25","17:39:00","A1","","C0BC","33909",10017,"YMBH01",1.0,"H","019E",0.067,.515,.000,.000,.000,.000,.067,.275,.173,0.00,0.00,0.0,1.0,100.0
"19/04/25","17:39:00","A1","","C0BD","33909",10017,"YGDU41",1.0,"H","019E",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","C0BE","33909",10017,"YGDU42",1.0,"H","019E",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","C0BF","33909",10017,"YGDU43",1.0,"H","019E",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","C0C0","33909",10017,"YGDU44",1.0,"H","019E",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","C0C1","33909",10017,"YGDU45",1.0,"H","019E",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","C0C2","33909",10017,"YDSA1C",1.0,"H","019E",217.440,.491,.000,.000,.000,.000,.069,.253,.169,3.67,9.18,0.0,4.0,100.0
"19/04/25","17:39:00","A1","","","",,"LCU",,"","019E",3159.51,.587,.000,.000,.047,.000,.116,.273,.199,1.26,2.99,0.0,498,100.0
"19/04/25","17:39:00","A1","","C188","33909",10017,"YCOM01",1.0,"H","019F",5.848,.179,.000,.000,.000,.000,.079,.003,.097,0.06,0.06,0.0,56.0,100.0
"19/04/25","17:39:00","A1","","C189","33909",10017,"YCOM02",1.0,"H","019F",0.317,.420,.000,.000,.000,.000,.072,.202,.146,0.00,0.01,0.0,13.0,100.0
"19/04/25","17:39:00","A1","","C18A","33909",10017,"YDSA2A",1.0,"H","019F",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,1.0,100.0
"19/04/25","17:39:00","A1","","C18B","33909",10017,"YDSA2B",1.0,"H","019F",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,1.0,100.0
"19/04/25","17:39:00","A1","SGLOGRA2","C18C","33909",10017,"YLGR21",1.0,"H","019F",0.017,.179,.000,.000,.000,.000,.102,.000,.077,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","C18D","33909",10017,"YWRK01",1.0,"H","019F",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,4.0,100.0
"19/04/25","17:39:00","A1","SGLOGRC","C18E","33909",10017,"YLGRC1",1.0,"H","019F",0.202,.612,.000,.000,.000,.000,.073,.371,.168,0.00,0.01,0.0,2.0,100.0
"19/04/25","17:39:00","A1","","C18F","33909",10017,"YSYZ2F",1.0,"H","019F",0.233,.359,.000,.000,.000,.000,.072,.160,.127,0.00,0.01,0.0,7.0,100.0
"19/04/25","17:39:00","A1","","C190","33909",10017,"YSYZ2G",1.0,"H","019F",0.533,.162,.000,.000,.000,.000,.074,.018,.070,0.00,0.00,0.0,16.0,100.0
